,ID,prediction
0,2019 X 7 X C4001 X AS21126,3.819582371539953
1,2019 X 7 X C4001 X AS27134,15.625964930520631
2,2019 X 7 X C4001 X AS27132,3.758817501476468
3,2019 X 7 X C4001 X AS27000,12.563526553730298
4,2019 X 7 X C4001 X AS27137,3.6430088959576743
5,2019 X 7 X C4001 X AS27138,3.9117789449544187
6,2019 X 7 X C4001 X AS27133,17.420493278516478
7,2019 X 7 X C4023 X AS27000,19.462371621176878
8,2019 X 7 X C4023 X AS27133,30.359551727966245
9,2019 X 8 X C4023 X AS27000,21.327755073547465
10,2019 X 8 X C4023 X AS27133,39.87123335362415
11,2019 X 8 X C4001 X AS21126,3.711816034702336
12,2019 X 8 X C4001 X AS27134,9.353396324744173
13,2019 X 8 X C4001 X AS27132,3.6959691706898763
14,2019 X 8 X C4001 X AS27000,12.328352711830401
15,2019 X 8 X C4001 X AS27137,3.5801605651710826
16,2019 X 8 X C4001 X AS27138,3.848930614167827
17,2019 X 8 X C4001 X AS27133,14.466080658486366
18,2019 X 9 X C4001 X AS27134,9.353396324744173
19,2019 X 9 X C4001 X AS27132,3.6959691706898763
20,2019 X 9 X C4001 X AS27000,12.328352711830401
21,2019 X 9 X C4001 X AS27137,3.5801605651710826
22,2019 X 9 X C4001 X AS27138,3.848930614167827
23,2019 X 9 X C4001 X AS27133,14.466080658486366
24,2019 X 9 X C4023 X AS27000,21.327755073547465
25,2019 X 9 X C4023 X AS27133,39.87123335362415
26,2019 X 7 X C1066 X AS27134,45.4698777307687
27,2019 X 7 X C1066 X AS27132,12.759985179482687
28,2019 X 7 X C1066 X AS27000,59.59754424350395
29,2019 X 7 X C1066 X AS27137,5.03732888056202
30,2019 X 7 X C1066 X AS27138,7.4576490943941955
31,2019 X 7 X C1066 X AS27133,47.924026605253076
32,2019 X 7 X C1026 X AS27134,10.426694516612713
33,2019 X 7 X C1026 X AS27132,10.745185718667983
34,2019 X 7 X C1026 X AS27000,65.12250883915053
35,2019 X 7 X C1026 X AS27137,5.17463410518279
36,2019 X 7 X C1026 X AS27138,5.862848289250845
37,2019 X 7 X C1026 X AS27133,24.440045196990212
38,2019 X 7 X C1063 X AS42018,2.8894430188164453
39,2019 X 7 X C1063 X AS21126,2.2106046440850378
40,2019 X 7 X C1063 X AS46000,5.764998447007814
41,2019 X 7 X C1063 X AS17005,2.83229301303677
42,2019 X 7 X C1063 X AS27134,8.166552332504583
43,2019 X 7 X C1063 X AS27132,3.2073911854428516
44,2019 X 7 X C1063 X AS27000,10.704198263048113
45,2019 X 7 X C1063 X AS27139,2.988976612824626
